NC_000964.3|slice_0_2000	NC_000964.3|slice_0_2000
NC_000964.3|slice_32000_34000	NC_000964.3|slice_32000_34000
NC_000964.3|slice_32000_34000	NC_000964.3|slice_98000_100000
NC_000964.3|slice_32000_34000	NC_000964.3|slice_168000_170000
NC_000964.3|slice_32000_34000	NC_000964.3|slice_173000_175000
NC_000964.3|slice_32000_34000	NC_000964.3|slice_948000_950000
NC_000964.3|slice_32000_34000	NC_000964.3|slice_92000_94000
NC_000964.3|slice_32000_34000	NC_000964.3|slice_637000_639000
NC_000964.3|slice_32000_34000	NC_000964.3|slice_3175000_3177000
NC_000964.3|slice_64000_66000	NC_000964.3|slice_64000_66000
NC_000964.3|slice_96000_98000	NC_000964.3|slice_96000_98000
NC_000964.3|slice_96000_98000	NC_000964.3|slice_166000_168000
NC_000964.3|slice_96000_98000	NC_000964.3|slice_946000_948000
NC_000964.3|slice_96000_98000	NC_000964.3|slice_90000_92000
NC_000964.3|slice_96000_98000	NC_000964.3|slice_635000_637000
NC_000964.3|slice_96000_98000	NC_000964.3|slice_30000_32000
NC_000964.3|slice_96000_98000	NC_000964.3|slice_171000_173000
NC_000964.3|slice_96000_98000	NC_000964.3|slice_3177000_3179000
NC_000964.3|slice_128000_130000	NC_000964.3|slice_128000_130000
NC_000964.3|slice_160000_162000	NC_000964.3|slice_160000_162000
NC_000964.3|slice_192000_194000	NC_000964.3|slice_192000_194000
NC_000964.3|slice_224000_226000	NC_000964.3|slice_224000_226000
NC_000964.3|slice_256000_258000	NC_000964.3|slice_256000_258000
NC_000964.3|slice_288000_290000	NC_000964.3|slice_288000_290000
NC_000964.3|slice_320000_322000	NC_000964.3|slice_320000_322000
NC_000964.3|slice_352000_354000	NC_000964.3|slice_352000_354000
NC_000964.3|slice_384000_386000	NC_000964.3|slice_384000_386000
NC_000964.3|slice_384000_386000	NC_000964.3|slice_395000_397000
NC_000964.3|slice_416000_418000	NC_000964.3|slice_416000_418000
NC_000964.3|slice_448000_450000	NC_000964.3|slice_448000_450000
NC_000964.3|slice_480000_482000	NC_000964.3|slice_480000_482000
NC_000964.3|slice_512000_514000	NC_000964.3|slice_512000_514000
NC_000964.3|slice_544000_546000	NC_000964.3|slice_544000_546000
NC_000964.3|slice_576000_578000	NC_000964.3|slice_576000_578000
NC_000964.3|slice_608000_610000	NC_000964.3|slice_608000_610000
NC_000964.3|slice_640000_642000	NC_000964.3|slice_640000_642000
NC_000964.3|slice_672000_674000	NC_000964.3|slice_672000_674000
NC_000964.3|slice_704000_706000	NC_000964.3|slice_704000_706000
NC_000964.3|slice_736000_738000	NC_000964.3|slice_736000_738000
NC_000964.3|slice_768000_770000	NC_000964.3|slice_768000_770000
NC_000964.3|slice_800000_802000	NC_000964.3|slice_800000_802000
NC_000964.3|slice_832000_834000	NC_000964.3|slice_832000_834000
NC_000964.3|slice_864000_866000	NC_000964.3|slice_864000_866000
NC_000964.3|slice_896000_898000	NC_000964.3|slice_896000_898000
NC_000964.3|slice_928000_930000	NC_000964.3|slice_928000_930000
NC_000964.3|slice_960000_962000	NC_000964.3|slice_960000_962000
NC_000964.3|slice_992000_994000	NC_000964.3|slice_992000_994000
NC_000964.3|slice_1024000_1026000	NC_000964.3|slice_1024000_1026000
NC_000964.3|slice_1056000_1058000	NC_000964.3|slice_1056000_1058000
NC_000964.3|slice_1088000_1090000	NC_000964.3|slice_1088000_1090000
NC_000964.3|slice_1120000_1122000	NC_000964.3|slice_1120000_1122000
NC_000964.3|slice_1152000_1154000	NC_000964.3|slice_1152000_1154000
NC_000964.3|slice_1184000_1186000	NC_000964.3|slice_1184000_1186000
NC_000964.3|slice_1216000_1218000	NC_000964.3|slice_1216000_1218000
NC_000964.3|slice_1248000_1250000	NC_000964.3|slice_1248000_1250000
NC_000964.3|slice_1280000_1282000	NC_000964.3|slice_1280000_1282000
NC_000964.3|slice_1312000_1314000	NC_000964.3|slice_1312000_1314000
NC_000964.3|slice_1344000_1346000	NC_000964.3|slice_1344000_1346000
NC_000964.3|slice_1376000_1378000	NC_000964.3|slice_1376000_1378000
NC_000964.3|slice_1408000_1410000	NC_000964.3|slice_1408000_1410000
NC_000964.3|slice_1440000_1442000	NC_000964.3|slice_1440000_1442000
